Source,Target,Weight
C00008,TA01,1
C00008,TA06,1
C00008,TA08,1
C00008,T0006,1
C00008,T0009,1
C00008,T0008,1
C00008,T0013,1
C00008,T0014,1
C00009,TA08,1
C00009,T0010,1
C00009,T0029,1
C00010,TA05,1
C00010,T00018,1
C00011,TA03,1
C00011,TA04,1
C00011,TA05,1
C00011,TA08,1
C00011,TA09,1
C00011,T0059,1
C00012,TA07,1
C00012,TA09,1
C00012,TA10,1
C00012,T0002,1
C00012,T0007,1
C00012,T0014,1
C00012,T0015,1
C00012,T0025,1
C00012,T0043,1
C00012,T0046,1
C00012,T0047,1
C00012,T0048,1
C00012,T0051,1
C00012,T0055,1
C00014,TA01,1
C00014,TA06,1
C00014,TA08,1
C00014,T0006,1
C00014,T0009,1
C00014,T0008,1
C00014,T0013,1
C00014,T0014,1
C00016,TA07,1
C00016,T0043,1
C00019,TA08,1
C00019,TA09,1
C00019,TA10,1
C00021,All,1
C00022,T0002,1
C00024,TA01,1
C00024,T0006,1
C00024,T0027,1
C00024,T0022,1
C00024,T0023,1
C00026,T0002,1
C00027,TA01,1
C00027,TA08,1
C00027,T0006,1
C00027,T0022,1
C00027,T0023,1
C00027,T0027,1
C00027,T0047,1
C00027,T0048,1
C00027,T0053,1
C00028,TA07,1
C00028,TA08,1
C00028,TA09,1
C00028,TA10,1
C00031,T0002,1
C00031,T0003,1
C00031,T0006,1
C00036,T0005,1
C00036,T0007,1
C00036,T0017,1
C00036,T0025,1
C00036,T0056,1
C00036,T0057,1
C00040,T0009,1
C00042,T0004,1
C00042,T0019,1
C00042,T0022,1
C00042,T0027,1
C00042,T0028,1
C00042,T0042,1
C00042,T0044,1
C00042,T0056,1
C00042,T0059,1
C00044,TA07,1
C00044,T0049,1
C00044,T0054,1
C00048,TA08,1
C00048,T0048,1
C00048,T0057,1
C00048,T0061,1
C00051,T0012,1
C00052,T0012,1
C00053,T0011,1
C00053,TA06,1
C00053,T0008,1
C00058,T0017,1
C00058,T0061,1
C00060,TA07,1
C00060,T0047,1
C00062,All,1
C00065,T0018,1
C00066,T0015,1
C00066,T0055,1
C00067,T0017,1
C00067,T0061,1
C00070,T0008,1
C00070,T0014,1
C00070,T0015,1
C00070,T0017,1
C00070,T0046,1
C00070,T0052,1
C00070,T0055,1
C00070,T0057,1
C00070,T0061,1
C00071,T0019,1
C00071,T0056,1
C00072,T0022,1
C00073,T0012,1
C00073,T0019,1
C00073,T0056,1
C00074,T0022,1
C00074,T0026,1
C00074,T0025,1
C00076,T0021,1
C00076,T0024,1
C00078,TA07,1
C00078,T0046,1
C00078,T0021,1
C00080,adapt,1
C00081,info,1
C00084,T0002,1
C00084,T0006,1
C00084,T0015,1
C00084,T0017,1
C00084,T0057,1
C00084,T0059,1
C00085,TA03,1
C00085,TA04,1
C00085,TA05,1
C00085,TA06,1
C00085,TA07,1
C00085,TA08,1
C00085,TA09,1
C00085,TA10,1
C00085,TA11,1
C00086,TA09,1
C00089,T0021,1
C00090,T0020,1
C00091,T0019,1
C00092,TA07,1
C00092,TA08,1
C00092,T0023,1
C00092,T0024,1
C00092,T0025,1
C00092,T0026,1
C00092,T0045,1
C00092,T0047,1
C00092,T0053,1
C00093,TA07,1
C00093,T0010,1
C00093,T0017,1
C00093,T0039,1
C00093,T0047,1
C00093,T0048,1
C00093,T0053,1
C00094,T0026,1
C00096,T0022,1
C00097,T0029,1
C00098,T0038,1
C00099,T0030,1
C00100,use,1
C00101,T0029,1
C00102,T0029,1
C00103,T0029,1
C00107,T0032,1
C00107,T0035,1
C00112,T0040,1
C00112,T0042,1
C00113,T0045,1
C00114,T0039,1
C00115,T0046,1
C00115,T0048,1
C00115,T0052,1
C00115,T0053,1
C00115,T0054,1
C00115,T0055,1
C00115,T0056,1
C00116,T0041,1
C00117,T0046,1
C00118,T0044,1
C00119,T0044,1
C00120,T0047,1
C00120,T0052,1
C00120,T0053,1
C00120,T0054,1
C00120,T0055,1
C00120,T0056,1
C00121,T0043,1
C00123,T0049,1
C00123,T0051,1
C00123,T0052,1
C00123,T0053,1
C00123,T0054,1
C00123,T0055,1
C00123,T0056,1
C00124,TA08,1
C00124,TA09,1
C00125,distort,1
C00126,T0052,1
C00126,T0053,1
C00126,T0054,1
C00126,T0055,1
C00126,T0056,1
C00129,T0057,1
C00129,T0061,1
C00131,T0049,1
C00131,T0054,1
C00133,TA07,1
C00133,TA09,1
C00133,TA10,1
C00133,T0007,1
C00133,T0009,1
C00133,T0011,1
C00133,T0014,1
C00133,T0017,1
C00133,T0018,1
C00133,T0045,1
C00135,TA07,1
C00135,TA09,1
C00135,TA10,1
C00135,T0007,1
C00135,T0011,1
C00135,T0017,1
C00135,T0045,1
C00136,TA08,1
C00136,TA09,1
C00136,TA10,1
C00136,T0005,1
C00136,T0010,1
C00136,T0029,1
C00137,T0020,1
C00140,TA05,1
C00140,TA09,1
C00140,TA10,1
C00142,TA05,1
C00142,TA09,1
C00142,TA10,1
C00142,TA11,1
C00142,T00016,1
C00144,T0053,1
C00145,T0015,1
C00145,T0046,1
C00147,T0060,1
C00149,TA12,1
C00149,T0020,1
C00165,T00025,1
C00174,T0001,1
C00197,T0007,1
C00197,T0011,1
C00202,T0025,1
